Department,Département,Committee,Comité,Service Area,Secteur de d'activité,Project,Projet,Total,Expense Type,Reduces Greenhouse Gases?,Réduction des émissions de gaz à effet de serre?,Reduces Greenhouse Gases? - Count,Builds climate resiliency?,Renforcer la résilience climatique?,Builds climate resiliency? - Count,Rate Supported,Category of Capital Program,Catégorie de programme d'immobilisations
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",908542 Ogilvie Cummings Parkette,908542 Mini-parc Ogilvie Cummings, 699 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",908544 Place des Gouverneurs Park,908544 Parc de la Place des Gouverneurs , 699 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",908546 Riverside South District Parks,908546 Parcs du district nord de Riverside-Sud (biens-fonds destinés à l'emploi)," 1,332 ",Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",909107 Facility Minor Cap Front of House Repair,909107 Réparations mineures devant la maison, 300 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",909126 Riverside South Recreation Complex Const,909126 Construction du centre récréatif Riverside-Sud," 4,265 ",Capital, No  ,Non,0, No  ,Non,0,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",909154 Accommodation Fit-Ups and Renovations,909154 Examen des locaux municipaux, 730 ,Capital, No  ,Non,0, No  ,Non,0,,Regulatory,Réglementé
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",909429 New Community Buildings,909429 Nouvelles installations communautaires," 1,203 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",909818 Cyrville Station TOD Area-1/3 Urban Park,909818 Zone d’AATC de la station Cyrville – 1/3 parcs urbains, 361 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No ,Non,0,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",909840 Community Centre - Central (Ottawa East),909840 Centre communautaire – Secteur centre (Ottawa-Est – 21 000 pi2)," 6,846 ",Capital, No ,Non,0, No ,Non,0,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",909842 Field House - Wateridge Village,909842 Pavillon – Sous-total pour les installations du Village des Riverains," 1,400 ",Capital, No ,Non,0, No ,Non,0,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",909846 Indoor Major Aquatic Facility - 50M Pool,909846 Grande installation aquatique intérieure – Piscine de 50 m," 1,560 ",Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",909951 Alexander CC Renovation/Expansion,909951 Centre communautaire Alexander - rénovation/extension ," 3,226 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",910194 Signage for City Assets,910194 Signalisation des biens de la ville, 20 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",910200 400 Albert Street - 1 Urban Park,"910200 400, rue Albert - 1 parc urbain", 86 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",910580 552 Booth Street - Urban Park,"910580 552, rue Booth – Parc Urbain", 189 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",910581 Rockhurst Parkette,910581 Mini-parc Rockhurst, 190 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",910582 1770 Heatherington Road - Urban Park,"910582 1770, chemin Heatherington – Parc urbain", 25 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",910681 115 Spencer Parkland Acquisition,910681 Acquisition du parc de Spencer 115, 422 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",910694 Heron Road Fieldhouse Renewal,910694 pavillon du parc Heron," 1,900 ",Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",910732 Lett Street Park development,910732 Aménagement du parc de la rue Lett, 50 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",910991 Tremblay Station TOD Area,910991 Secteur de conception axé sur le transport en commun de la station Tremblay, 61 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911003 Preston-Carling District Design Plan,911003 Plan de conception communautaire du secteur Preston-Carling , 841 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911004 Gladstone (Corso Italia)Secondary Plan,911004 Plan de conception communautaire de la station Gladstone , 468 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911090 Armstrong Park Extension,911090 Agrandissement du parc Armstrong, 404 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911091 Sandalwood park improvements,911091 Améliorations au parc Sandalwood, 250 ,Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911123 320 McRae Park,911123 Parc 320 McRae, 336 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911220 Park Redevelopment 2025,911220 Réaménagement de parc 2025, 750 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911222 Fitness & Program Equipment 2025,911222 Équipement de conditionnement physique et de programme 2025, 250 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911233 1354-1376 Carling Avenue Urban Parkette,"911233 1354-1376, avenue Carling – mini-parc urbain", 87 ,Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911370 Francois Dupuis District Park,911370 Parc de district François-Dupuis," 1,134 ",Capital, No  ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911413 100 Constellation Acquisition,911413 Acquisition de 100 Constellation," 10,000 ",Capital, No  ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911536 Major Capital Partnership 2025,911536 Partenariats communautaires pour les grands projets d'immobilisations 2025, 977 ,Capital, No  ,Non,0, No ,Non,0,,Service Enhancements,Amélioration du service
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911537 Minor Capital Partnership 2025,911537 Partenariats communautaires lié aux petites immobilisations 2025, 300 ,Capital, No  ,Non,0, No ,Non,0,,Service Enhancements,Amélioration du service
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911608 Outdoor Sports Court Redevelopment 2025,911608 Soutien pour les infrastructures - extérieures 2025, 100 ,Capital, No  ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911610 Minor Park Improvement 2025,911610 Améliorations mineures aux parcs 2025, 250 ,Capital, No  ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911612 Infrastructure Upgrades 2025,911612 Mises à niveau de l'infrastructure 2025," 1,250 ",Capital, No  ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911613 Meridian Theatre Cap Renewal Fund 2025,911613 Fonds d'immobilisations pour la réfection du Théâtre Meridian 2025, 168 ,Capital, No  ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911614 Shenkman Arts Ctre Renewal Fund 2025,911614 Fonds d'immobilisations pour la réfection du Théâtre Shenkman 2025, 40 ,Capital, No  ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911615 Cultural Building & Equip 2025,911615 Édifices et équipement des services culturels 2025, 125 ,Capital, No  ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911616 Museum Sustainability Plan 2025,911616 Plan de durabilité des musés 2025, 200 ,Capital, No  ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911617 Artifact & Art Collection Restore & Main,911617 Restauration et entretien de la collection d'artefacts et d'objets d'art 2025, 80 ,Capital, No  ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911620 Sportsfields Improvements 2025,911620 Améliorations apportées aux terrains de sport en 2025, 50 ,Capital, No  ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911621 ICIP-CCR-Barrhaven Town Centre Civic Com,"911621 Programme d’infrastructure Investir dans le Canada (PIIC), volet Infrastructures communautaires, culturelles et récréatives – Complexe municipal du centre-ville de Barrhaven"," 32,374 ",Capital, No  ,Non,0, No ,Non,0,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911622 Cricket (Millenium),911622 Cricket (parc Millenium), 500 ,Capital, No  ,Non,0, No ,Non,0,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911624 Bayview Station District CDP-3 Urban Par,911624 PCC du secteur de la station Bayview  – 3 parcs urbains, 873 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911625 Elmvale Acres Secondary Plan: Park 1,911625 Plan secondaire d’Elmvale Acres – parc 1, 489 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911627 Hurdman & Lees Station TOD Areas: 1 of 5,"911627 AATC des stations Hurdman et Lees : parc (1/5) – 320, avenue Lees (2 Robinson) ", 131 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911628 30 Cleary Avenue Park,"911628 30, avenue Cleary – parc", 52 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911629 200 Barribeau (addition to St Ambroise P,"911629 200, rue Baribeau (ajout au parc St-Ambroise)", 286 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911631 Manor Park 1/2-South,911631 Parc Manor (1/2) sud, 205 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911633 2175 Carling- Ancaster Park,"911633 2175, avenue Carling - parc Ancaster", 141 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911637 Rochesterville /818 Gladstone Piazza Dan,"911637 Rochesterville / 818, avenue Gladstone – prolongement du parc Piazza Dante", 42 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911639 1705 Carling Park,"911639 1705, avenue Carling – parc", 250 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911640 Ledbury Park Expansion East,911640 Agrandissement du parc Ledbury vers l’est, 400 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911641 2200 Bank Street (South Phase) Transit P,"911641 2200, rue Bank (Phase sud) – esplanade de transport en commun, parc urbain", 164 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911642 299 Carling Park,"911642 299, avenue Carling – parc", 237 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911643 1919-1967 Riverside Drive Park,"911643 1919-1967, promenade Riverside – parc", 250 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911644 Tremblay Station TOD Area- 1330 Avenue K,"911644 Zone d’AATC de la station Tremblay – 1330, avenue K (25, place Pickering) – parc", 98 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
"Recreation, Cultural and Facility Operations Department", Service des loisirs et de la culture et des installations ,Community Services Committee,Comité des services communautaires,"Parks, Recreation & Culture","Service des parcs, des loisirs et de la culture",911759 Parks Amenities Upgrades,911759 Modernisation des installations des parcs , 400 ,Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Strategic Initiatives Department, Direction générale des initiatives stratégiques ,Environment and Climate Change Committee (Tax Supported),Comité de l’environnement du changement climatique (par les taxes),Environment,Environnement,908894 Natural Area Acquisitions (Rural),908894 Acquisitions en régions naturelles (rurales)," 2,000 ",Capital, No ,Non,0, Yes - Moderate Contribution ,Oui - Contribution modérée,1,,Service Enhancements,Amélioration du service
Strategic Initiatives Department, Direction générale des initiatives stratégiques ,Environment and Climate Change Committee (Tax Supported),Comité de l’environnement du changement climatique (par les taxes),Environment,Environnement,911372 24-26 Climate Change Master Plan,911372 24-26 Plan directeur sur le changement climatique," 6,000 ",Capital, Yes - Major Contribution ,Oui - Contribution majeure,1, Yes - Major Contribution ,Oui - Contribution majeure,1,,Service Enhancements,Amélioration du service
Strategic Initiatives Department, Direction générale des initiatives stratégiques ,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Corporate Real Estate Office,Bureau des biens immobiliers municipaux,910331 1010 Somerset Master Concept Plan,910331 Plan conceptuel général du 1010 Somerset," 1,235 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Growth,Croissance
Strategic Initiatives Department, Direction générale des initiatives stratégiques ,Finance and Corporate Services Committee,Comité des finances et des services organisationnels,Transportation Services,Services des transports,911247 Canadian Shield Avenue,911247 Avenue Canadian Shield," 3,200 ",Capital, No  ,Non,0, No  ,Non,0,,Growth,Croissance
Strategic Initiatives Department, Direction générale des initiatives stratégiques ,Planning and Housing Committee,Comité de la planification et du logement,Housing Services,Logement,911160 24-26 Municipal InvestAffordable Housing,911160 24-26 Investissement municipal en matière de logement abordable," 22,900 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No ,Non,0,,Growth,Croissance
Strategic Initiatives Department, Direction générale des initiatives stratégiques ,Transportation Committee,Comité des transports,Transportation Services,Services des transports,911234 William&ByWard Mrkt Sq Renew-George-York,911234 Renouvellement de la rue William et Marché By (de la rue George jusqu'a la rue York)," 10,000 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, Yes - Moderate Contribution ,Oui - Contribution modérée,1,,Renewal of City Assets,Renouvellement des immobilisations
Strategic Initiatives Department, Direction générale des initiatives stratégiques ,Transportation Committee,Comité des transports,Transportation Services,Services des transports,911248 70 Clarence Parking Redevelopment,911248 Redévelopement du Parking 70 Clarence, 500 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,909087 Rail Operational Readiness,909087 État de préparation opérationnelle du rail," 2,155 ",Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,910160 Stage 2 Transition,910160 Passage à l'Étape 2," 3,545 ",Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911101 Zero Emission Bus (ZEB) Program,911101 Programme des autobus à émission zéro," 305,995 ",Capital, Yes - Major Contribution ,Oui - Contribution majeure,1, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911706 Comm&Control Sys Onboard vehicles 2025,911706 Équipement de communication et systèmes de contrôle à bord des véhicules 2025," 2,325 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911707 Customer Services Technology System 2025,911707 Systèmes technologiques du service à la clientèle 2025," 3,975 ",Capital, No ,Non,0, No ,Non,0,,Service Enhancements,Amélioration du service
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911708 Fare Technology Systems 2025,911708 Systèmes tarifaires technologiques 2025," 1,460 ",Capital, No ,Non,0, No ,Non,0,,Service Enhancements,Amélioration du service
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911709 Fleet Maintenance Technology Systems2025,911709 Systèmes technologiques pour l'entretien du parc de véhicules 2025, 500 ,Capital, No ,Non,0, No ,Non,0,,Service Enhancements,Amélioration du service
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911715 Scheduling and Control Systems 2025,911715 Systèmes de planification des horaires et de contrôle 2025," 5,120 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911720 Operations Management Systems 2025,911720 Systèmes de gestion des opérations 2025," 3,780 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Transit Services Department, Services de transport en commun ,Transit Commission,Commission du transport en commun,Transit Services,Services de transport en commun,911721 Para Transpo Technology Systems 2025,911721 Systèmes technologiques de Para Transpo 2025," 1,170 ",Capital, No ,Non,0, No ,Non,0,,Service Enhancements,Amélioration du service
