Department,Département,Committee,Comité,Service Area,Secteur de d'activité,Description,Description (FR),Frais 2023,2023 Fee,Frais 2024,2024 Fee,Frais 2025,2025 Fee,Augmentation,Increase,Effective starting,Date d'entrée en vigueur ,ColSearch,ColSearch_FR
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Parking Services,Service du stationnement,On-Street Parking Permits -  Tour Bus Parking Permit (no refunds),Permis de stationnement pour les autobus d'excursion (aucun remboursement),,,30,30,30,30,0.00%,0.00%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Parking Services On-Street Parking Permits -  Tour Bus Parking Permit (no refunds),Direction générale des travaux publics Comité des transports Service du stationnement Permis de stationnement pour les autobus d'excursion (aucun remboursement)
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Parking Services,Service du stationnement,On-Street Parking Permits Residential parking permit - minimum processing fee retained on refunds,Permis de stationnement résidentiel - frais de traitement minimaux retenus sur les remboursements,,,35,35,36,36,2.90%,2.90%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Parking Services On-Street Parking Permits Residential parking permit - minimum processing fee retained on refunds,Direction générale des travaux publics Comité des transports Service du stationnement Permis de stationnement résidentiel - frais de traitement minimaux retenus sur les remboursements
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Parking Services,Service du stationnement,On-Street Parking Permits Residential parking permit annual,Permis de stationnement résidentiel annuel,,,750,750,770,770,2.70%,2.70%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Parking Services On-Street Parking Permits Residential parking permit annual,Direction générale des travaux publics Comité des transports Service du stationnement Permis de stationnement résidentiel annuel
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Parking Services,Service du stationnement,On-Street Parking Permits Residential parking permit monthly - Summer (Apr - Nov),Permis mensuel de stationnement résidentiel – Été (avril à novembre),,,35,35,36,36,2.90%,2.90%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Parking Services On-Street Parking Permits Residential parking permit monthly - Summer (Apr - Nov),Direction générale des travaux publics Comité des transports Service du stationnement Permis mensuel de stationnement résidentiel – Été (avril à novembre)
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Parking Services,Service du stationnement,On-Street Parking Permits Residential parking permit monthly - Winter (Dec - Mar),Permis mensuel de stationnement résidentiel – Hiver (décembre à mars),,,163,163,167,167,2.50%,2.50%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Parking Services On-Street Parking Permits Residential parking permit monthly - Winter (Dec - Mar),Direction générale des travaux publics Comité des transports Service du stationnement Permis mensuel de stationnement résidentiel – Hiver (décembre à mars)
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Parking Services,Service du stationnement,On-Street Parking Permits Residential Visitor Parking (no refunds) per week or less - Summer (Apr - Nov),Stationnement résidentiel pour visiteur (aucun remboursement) par semaine ou moins - Été (avr. - nov.),,,8.75,8.75,9,9,2.90%,2.90%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Parking Services On-Street Parking Permits Residential Visitor Parking (no refunds) per week or less - Summer (Apr - Nov),Direction générale des travaux publics Comité des transports Service du stationnement Stationnement résidentiel pour visiteur (aucun remboursement) par semaine ou moins - Été (avr. - nov.)
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Parking Services,Service du stationnement,On-Street Parking Permits Residential Visitor Parking (no refunds) per week or less - Winter (Dec - Mar),Stationnement résidentiel pour visiteur (aucun remboursement) par semaine ou moins - Hiver (déc. - mars),,,40.75,40.75,41.75,41.75,2.50%,2.50%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Parking Services On-Street Parking Permits Residential Visitor Parking (no refunds) per week or less - Winter (Dec - Mar),Direction générale des travaux publics Comité des transports Service du stationnement Stationnement résidentiel pour visiteur (aucun remboursement) par semaine ou moins - Hiver (déc. - mars)
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Parking Services,Service du stationnement,On-Street Parking Rates Maximum on-street rate per hour,Tarifs de stationnement sur rue Tarif maximal sur rue par heure pour les autobus d'excursion,,,4.5,4.5,5,5,11.10%,11.10%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Parking Services On-Street Parking Rates Maximum on-street rate per hour,Direction générale des travaux publics Comité des transports Service du stationnement Tarifs de stationnement sur rue Tarif maximal sur rue par heure pour les autobus d'excursion
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Parking Services,Service du stationnement,On-Street Parking Rates Maximum on-street rate per hour - motorcycle rate,Tarifs de stationnement sur rue Tarif maximal sur rue par heure,,,2.25,2.25,2.5,2.5,11.10%,11.10%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Parking Services On-Street Parking Rates Maximum on-street rate per hour - motorcycle rate,Direction générale des travaux publics Comité des transports Service du stationnement Tarifs de stationnement sur rue Tarif maximal sur rue par heure
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Parking Services,Service du stationnement,On-Street Parking Rates Maximum on-street rate per hour - Tour Bus rate,Tarifs de stationnement sur rue Tarif maximal sur rue par heure pour les motocyclettes,,,9,9,10,10,11.10%,11.10%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Parking Services On-Street Parking Rates Maximum on-street rate per hour - Tour Bus rate,Direction générale des travaux publics Comité des transports Service du stationnement Tarifs de stationnement sur rue Tarif maximal sur rue par heure pour les motocyclettes
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Road Services,Services des routes,"Administration and Overhead charge will be applied to the overall cost recovery for any works or accident recoveries undertaken by Roads on behalf of the Federal government and any agencies, Provincial government and any agencies, Hydro Ottawa, school boards, universities/colleges, municipalities, general persons/parties and developers.","Des frais généraux et d'administration seront appliqués pour le recouvrement des coûts entraînés par tout travail entrepris ou recouvrement causé par un accident par la Direction du service des routes au nom des gouvernements et organismes fédéraux et provinciaux, d'Hydro Ottawa, de conseils scolaires, d'universités, de collèges, de municipalités, de promoteurs ou de toute autre tierce partie.",,,15.00%,15.00%,15.00%,15.00%,0.00%,0.00%,2025-01-01,2025-01-01,"Public Works Department Transportation Committee Road Services Administration and Overhead charge will be applied to the overall cost recovery for any works or accident recoveries undertaken by Roads on behalf of the Federal government and any agencies, Provincial government and any agencies, Hydro Ottawa, school boards, universities/colleges, municipalities, general persons/parties and developers.","Direction générale des travaux publics Comité des transports Services des routes Des frais généraux et d'administration seront appliqués pour le recouvrement des coûts entraînés par tout travail entrepris ou recouvrement causé par un accident par la Direction du service des routes au nom des gouvernements et organismes fédéraux et provinciaux, d'Hydro Ottawa, de conseils scolaires, d'universités, de collèges, de municipalités, de promoteurs ou de toute autre tierce partie."
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Road Services,Services des routes,Snow Disposal Facility (SDF) Fees Combo dump truck (20m³) ticket price to dump snow in City snow disposal facility.,Prix du billet pour un camion à benne mixte (20 m³) pour décharger la neige au dépôt de neige de la Ville.,,,212.7,212.7,244.61,244.61,15.00%,15.00%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Road Services Snow Disposal Facility (SDF) Fees Combo dump truck (20m³) ticket price to dump snow in City snow disposal facility.,Direction générale des travaux publics Comité des transports Services des routes Prix du billet pour un camion à benne mixte (20 m³) pour décharger la neige au dépôt de neige de la Ville.
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Road Services,Services des routes,Snow Disposal Facility (SDF) Fees Semi dump truck (64.36m³) ticket price to dump snow in City snow disposal facility.,"Prix du billet pour un camion à benne semiremorque (64,36 m³) pour décharger la neige au dépôt de neige de la Ville.",,,272.8,272.8,313.72,313.72,15.00%,15.00%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Road Services Snow Disposal Facility (SDF) Fees Semi dump truck (64.36m³) ticket price to dump snow in City snow disposal facility.,"Direction générale des travaux publics Comité des transports Services des routes Prix du billet pour un camion à benne semiremorque (64,36 m³) pour décharger la neige au dépôt de neige de la Ville."
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Road Services,Services des routes,Snow Disposal Facility (SDF) Fees Single axle dump truck (9m³) ticket price to dump snow in City snow disposal facility.,Prix du billet pour un camion à benne à essieu simple (9 m³) pour décharger la neige au dépôt de neige de la Ville.,,,59.9,59.9,68.89,68.89,15.00%,15.00%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Road Services Snow Disposal Facility (SDF) Fees Single axle dump truck (9m³) ticket price to dump snow in City snow disposal facility.,Direction générale des travaux publics Comité des transports Services des routes Prix du billet pour un camion à benne à essieu simple (9 m³) pour décharger la neige au dépôt de neige de la Ville.
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Road Services,Services des routes,Snow Disposal Facility (SDF) Fees Tandem axle dump truck (15m³) ticket price to dump snow in City snow disposal facility.,Prix du billet pour un camion à benne à essieu tandem (15 m³) pour décharger la neige au dépôt de neige de la Ville.,,,99.8,99.8,114.77,114.77,15.00%,15.00%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Road Services Snow Disposal Facility (SDF) Fees Tandem axle dump truck (15m³) ticket price to dump snow in City snow disposal facility.,Direction générale des travaux publics Comité des transports Services des routes Prix du billet pour un camion à benne à essieu tandem (15 m³) pour décharger la neige au dépôt de neige de la Ville.
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Road Services,Services des routes,Snow Disposal Facility (SDF) Fees Tri-Axle axle dump truck (18m³) ticket price to dump snow in City snow disposal facility.,Prix du billet pour un camion à benne à essieu tridem (18 m³) pour décharger la neige au dépôt de neige de la Ville.,,,119.6,119.6,137.54,137.54,15.00%,15.00%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Road Services Snow Disposal Facility (SDF) Fees Tri-Axle axle dump truck (18m³) ticket price to dump snow in City snow disposal facility.,Direction générale des travaux publics Comité des transports Services des routes Prix du billet pour un camion à benne à essieu tridem (18 m³) pour décharger la neige au dépôt de neige de la Ville.
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Road Services,Services des routes,"Storage fee per shopping cart (includes removal of cart from highway and City property, impounding and storage, administration and management of notices and retrievals and enforcement).","Frais d'entreposage par chariot d'achat (comprend l'enlèvement du chariot de la voie publique ou d'une propriété de la Ville, la saisie et l'entreposage, la gestion des avis et de la récupération des chariots, et l'application des règlements)",,,60,60,60,60,0.00%,0.00%,2025-01-01,2025-01-01,"Public Works Department Transportation Committee Road Services Storage fee per shopping cart (includes removal of cart from highway and City property, impounding and storage, administration and management of notices and retrievals and enforcement).","Direction générale des travaux publics Comité des transports Services des routes Frais d'entreposage par chariot d'achat (comprend l'enlèvement du chariot de la voie publique ou d'une propriété de la Ville, la saisie et l'entreposage, la gestion des avis et de la récupération des chariots, et l'application des règlements)"
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Traffic Services,Services de la circulation,ATR – Pneumatic Tube Data collection - Equipment maintenance fee per hour per unit deployed,Frais horaires d'entretien d'équipment de collecte de données,,,5.77,5.77,5.92,5.92,2.50%,2.50%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Traffic Services ATR – Pneumatic Tube Data collection - Equipment maintenance fee per hour per unit deployed,Direction générale des travaux publics Comité des transports Services de la circulation Frais horaires d'entretien d'équipment de collecte de données
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Traffic Services,Services de la circulation,ATR – Pneumatic Tube Data collection - Set up/takedown fee (actual hourly cost of staff time),Frais d'installation et de démontage (coûts horaires du personnel),,,Coût réel,actual cost,Coût réel,actual cost,-,-,2025-01-01,2025-01-01,Public Works Department Transportation Committee Traffic Services ATR – Pneumatic Tube Data collection - Set up/takedown fee (actual hourly cost of staff time),Direction générale des travaux publics Comité des transports Services de la circulation Frais d'installation et de démontage (coûts horaires du personnel)
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Traffic Services,Services de la circulation,"ATR - Side Fire Radar -Administration and Overhead charge will be applied to the overall cost recovery for any works or accident recoveries undertaken by Traffic Operations and Maintenance on behalf of Federal Gov't and any agencies, provincial government and any agencies, Hydro Ottawa, school boards, universities/colleges, municipalities, general persons/parties and developers.","Des frais généraux et d'administration seront
appliqués pour le recouvrement des coûts
entraînés par tout travail entrepris ou recouvrement
causé par un accident par la Direction de l'entretien
des routes et de la circulation routière au nom des gouvernements et organismes fédéraux et provinciaux, d'Hydro Ottawa, de conseils scolaires, d'universités, de collèges, de municipalités, de promoteurs ou de toute autre tierce partie.",,,15.00%,15.00%,15.00%,15.00%,0.00%,0.00%,2025-01-01,2025-01-01,"Public Works Department Transportation Committee Traffic Services ATR - Side Fire Radar -Administration and Overhead charge will be applied to the overall cost recovery for any works or accident recoveries undertaken by Traffic Operations and Maintenance on behalf of Federal Gov't and any agencies, provincial government and any agencies, Hydro Ottawa, school boards, universities/colleges, municipalities, general persons/parties and developers.","Direction générale des travaux publics Comité des transports Services de la circulation Des frais généraux et d'administration seront
appliqués pour le recouvrement des coûts
entraînés par tout travail entrepris ou recouvrement
causé par un accident par la Direction de l'entretien
des routes et de la circulation routière au nom des gouvernements et organismes fédéraux et provinciaux, d'Hydro Ottawa, de conseils scolaires, d'universités, de collèges, de municipalités, de promoteurs ou de toute autre tierce partie."
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Traffic Services,Services de la circulation,ATR - Side Fire Radar -Bell Communication Fee monthly charge per signalized intersection. Fee structure changing to a flat fee in 2016,"Frais de communication de Bell par mois, par carrefour à feux (la structure tarifaire changera pour des frais fixes en 2016)",,,197.63,197.63,202.57,202.57,2.50%,2.50%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Traffic Services ATR - Side Fire Radar -Bell Communication Fee monthly charge per signalized intersection. Fee structure changing to a flat fee in 2016,"Direction générale des travaux publics Comité des transports Services de la circulation Frais de communication de Bell par mois, par carrefour à feux (la structure tarifaire changera pour des frais fixes en 2016)"
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Traffic Services,Services de la circulation,ATR - Side Fire Radar -City Owned Cable Communication Fee monthly charge per signalized intersection,"Communications par câble appartenant à la Ville par mois, par carrefour à feux",,,138.01,138.01,141.46,141.46,2.50%,2.50%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Traffic Services ATR - Side Fire Radar -City Owned Cable Communication Fee monthly charge per signalized intersection,"Direction générale des travaux publics Comité des transports Services de la circulation Communications par câble appartenant à la Ville par mois, par carrefour à feux"
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Traffic Services,Services de la circulation,ATR - Side Fire Radar -Device Rental charge per hour per unit,Frais de location par unité et par heure,,,3.54,3.54,3.63,3.63,2.50%,2.50%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Traffic Services ATR - Side Fire Radar -Device Rental charge per hour per unit,Direction générale des travaux publics Comité des transports Services de la circulation Frais de location par unité et par heure
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Traffic Services,Services de la circulation,ATR - Side Fire Radar -Fees for late Film Permit Applications requiring road/lane closures or dedicated parking removal,Frais pour les demandes de permis de film en retard nécessitant la fermeture de routes / voies ou l'enlèvement d'un parking dédié,,,200,200,205,205,2.50%,2.50%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Traffic Services ATR - Side Fire Radar -Fees for late Film Permit Applications requiring road/lane closures or dedicated parking removal,Direction générale des travaux publics Comité des transports Services de la circulation Frais pour les demandes de permis de film en retard nécessitant la fermeture de routes / voies ou l'enlèvement d'un parking dédié
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Traffic Services,Services de la circulation,ATR - Side Fire Radar -GPRS Communication Fee monthly charge per signalized intersection,"Service général de paquets radio (GPRS) par mois, par carrefour à feux",,,18.77,18.77,19.24,19.24,2.50%,2.50%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Traffic Services ATR - Side Fire Radar -GPRS Communication Fee monthly charge per signalized intersection,"Direction générale des travaux publics Comité des transports Services de la circulation Service général de paquets radio (GPRS) par mois, par carrefour à feux"
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Traffic Services,Services de la circulation,ATR - Side Fire Radar -Pre-Development Traffic Control Devices and Street Lighting Review fee,Examen préliminaire de dispositifs de signalisation et de l'éclairage des rues,,,Coût réel,actual cost,Coût réel,actual cost,-,-,2025-01-01,2025-01-01,Public Works Department Transportation Committee Traffic Services ATR - Side Fire Radar -Pre-Development Traffic Control Devices and Street Lighting Review fee,Direction générale des travaux publics Comité des transports Services de la circulation Examen préliminaire de dispositifs de signalisation et de l'éclairage des rues
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Traffic Services,Services de la circulation,ATR - Side Fire Radar -Set up/takedown fee (actual hourly cost of staff time),Frais d’installation et de désinstallation (coûts horaires réels en personnel),,,Coût réel,actual cost,Coût réel,actual cost,-,-,2025-01-01,2025-01-01,Public Works Department Transportation Committee Traffic Services ATR - Side Fire Radar -Set up/takedown fee (actual hourly cost of staff time),Direction générale des travaux publics Comité des transports Services de la circulation Frais d’installation et de désinstallation (coûts horaires réels en personnel)
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Traffic Services,Services de la circulation,ATR - Side Fire Radar -Signal drawing file copies fee per intersection,"Copie de plan de carrefour à feux, par intersection",,,27.6,27.6,28.29,28.29,2.50%,2.50%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Traffic Services ATR - Side Fire Radar -Signal drawing file copies fee per intersection,"Direction générale des travaux publics Comité des transports Services de la circulation Copie de plan de carrefour à feux, par intersection"
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Traffic Services,Services de la circulation,ATR - Side Fire Radar -Signal Timing Requests fee per signalized intersection,"Demandes relatives à la synchronisation de feux de circulation, par carrefour à feux",,,55.2,55.2,56.58,56.58,2.50%,2.50%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Traffic Services ATR - Side Fire Radar -Signal Timing Requests fee per signalized intersection,"Direction générale des travaux publics Comité des transports Services de la circulation Demandes relatives à la synchronisation de feux de circulation, par carrefour à feux"
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Traffic Services,Services de la circulation,ATR - Side Fire Radar -Special Event Regularory Curbside Signage (No Stopping and Tow Away Zone Signs),Signalisation régulière des trottoirs pour événements spéciaux (panneaux d'interdiction d'arrêt et de remorquage),,,79.59 par bloc,79.59 per block,81.27 par bloc,81.27 per block,2.10%,2.10%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Traffic Services ATR - Side Fire Radar -Special Event Regularory Curbside Signage (No Stopping and Tow Away Zone Signs),Direction générale des travaux publics Comité des transports Services de la circulation Signalisation régulière des trottoirs pour événements spéciaux (panneaux d'interdiction d'arrêt et de remorquage)
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Traffic Services,Services de la circulation,ATR - Side Fire Radar -Traffic Signal Display Chart,Tableau d'affichage des feux de circulation,,,212.24,212.24,217.55,217.55,2.50%,2.50%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Traffic Services ATR - Side Fire Radar -Traffic Signal Display Chart,Direction générale des travaux publics Comité des transports Services de la circulation Tableau d'affichage des feux de circulation
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Traffic Services,Services de la circulation,Collision Data Request -Custom collision data (non-detailed summary data),Données personnalisées sur les collisions (sommaire non détaillé),,,116.52 + coûts horaires du personnel,116.52 + hourly staff time,122.04 + coûts horaires du personnel,122.04 + hourly staff time,4.70%,4.70%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Traffic Services Collision Data Request -Custom collision data (non-detailed summary data),Direction générale des travaux publics Comité des transports Services de la circulation Données personnalisées sur les collisions (sommaire non détaillé)
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Traffic Services,Services de la circulation,Collision Data Request -Detail collision summary report >5 location,Sommaire détaillé sur les collisions pour plus de 5 emplacements,,,116.52 + coûts horaires du personnel,116.52 + hourly staff time,122.04 + coûts horaires du personnel,122.04 + hourly staff time,4.70%,4.70%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Traffic Services Collision Data Request -Detail collision summary report >5 location,Direction générale des travaux publics Comité des transports Services de la circulation Sommaire détaillé sur les collisions pour plus de 5 emplacements
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Traffic Services,Services de la circulation,Collision Data Request -Detail collision summary report 1 to 5 locations,Sommaire détaillé sur les collisions pour 1 à 5 emplacements,,,119.07,119.07,122.04,122.04,2.50%,2.50%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Traffic Services Collision Data Request -Detail collision summary report 1 to 5 locations,Direction générale des travaux publics Comité des transports Services de la circulation Sommaire détaillé sur les collisions pour 1 à 5 emplacements
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Traffic Services,Services de la circulation,Miovison Data Collection -Device rental charge per hour per camera,Frais horaires de location d’équipement par caméra,,,11.41,11.41,11.69,11.69,2.50%,2.50%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Traffic Services Miovison Data Collection -Device rental charge per hour per camera,Direction générale des travaux publics Comité des transports Services de la circulation Frais horaires de location d’équipement par caméra
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Traffic Services,Services de la circulation,"Miovison Data Collection -Processing charges – intersection, small roundabout count, large roundabout count, midblock volume (vehicles only), pathway volume","Frais de traitement - intersection, petit carrefour giratoire, grand carrefour giratoire, volume intermédiaire (véhicules seulement), volume sentier",,,Coût réel,actual cost,Coût réel,actual cost,-,-,2025-01-01,2025-01-01,"Public Works Department Transportation Committee Traffic Services Miovison Data Collection -Processing charges – intersection, small roundabout count, large roundabout count, midblock volume (vehicles only), pathway volume","Direction générale des travaux publics Comité des transports Services de la circulation Frais de traitement - intersection, petit carrefour giratoire, grand carrefour giratoire, volume intermédiaire (véhicules seulement), volume sentier"
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Traffic Services,Services de la circulation,Miovison Data Collection -Set up/takedown fee (actual hourly cost of staff time),"Installation et démontage (coût horaire réel associé
au travail du personnel)",,,Coût réel,actual cost,Coût réel,actual cost,-,-,2025-01-01,2025-01-01,Public Works Department Transportation Committee Traffic Services Miovison Data Collection -Set up/takedown fee (actual hourly cost of staff time),"Direction générale des travaux publics Comité des transports Services de la circulation Installation et démontage (coût horaire réel associé
au travail du personnel)"
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Traffic Services,Services de la circulation,Traffic Camera Video Request - Initial traffic camera request,Demande d’enregistrement - caméra de surveillance de la circulation - Demande d’enregistrement initiale de caméra de surveillance de la circulation,,,56.61,56.61,58.03,58.03,2.50%,2.50%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Traffic Services Traffic Camera Video Request - Initial traffic camera request,Direction générale des travaux publics Comité des transports Services de la circulation Demande d’enregistrement - caméra de surveillance de la circulation - Demande d’enregistrement initiale de caméra de surveillance de la circulation
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Traffic Services,Services de la circulation,Traffic Camera Video Request - Processing time over an hour,Demande d’enregistrement - caméra de surveillance de la circulation - Temps de traitement – Plus d’une heure,,,Coût réel,actual cost,Coût réel,actual cost,-,-,2025-01-01,2025-01-01,Public Works Department Transportation Committee Traffic Services Traffic Camera Video Request - Processing time over an hour,Direction générale des travaux publics Comité des transports Services de la circulation Demande d’enregistrement - caméra de surveillance de la circulation - Temps de traitement – Plus d’une heure
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Traffic Services,Services de la circulation,Traffic Camera Video Request - Video editing - redactions,Demande d’enregistrement - caméra de surveillance de la circulation - Montage vidéo – édition,,,Coût réel,actual cost,Coût réel,actual cost,-,-,2025-01-01,2025-01-01,Public Works Department Transportation Committee Traffic Services Traffic Camera Video Request - Video editing - redactions,Direction générale des travaux publics Comité des transports Services de la circulation Demande d’enregistrement - caméra de surveillance de la circulation - Montage vidéo – édition
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Traffic Services,Services de la circulation,Traffic Data Information Fee – file copies,Données sur le comptage de la circulation – copies,,,119.07,119.07,122.04,122.04,2.50%,2.50%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Traffic Services Traffic Data Information Fee – file copies,Direction générale des travaux publics Comité des transports Services de la circulation Données sur le comptage de la circulation – copies
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Traffic Services,Services de la circulation,Variable Message Board - Per sign per day equipment rental charge,"Location d'équipement par enseigne, par jour",,,110.41,110.41,113.17,113.17,2.50%,2.50%,2025-01-01,2025-01-01,Public Works Department Transportation Committee Traffic Services Variable Message Board - Per sign per day equipment rental charge,"Direction générale des travaux publics Comité des transports Services de la circulation Location d'équipement par enseigne, par jour"
Public Works Department,Direction générale des travaux publics,Transportation Committee,Comité des transports,Traffic Services,Services de la circulation,Variable Message Board - Set up/takedown fee (actual hourly cost of staff time),Frais d’installation et de désinstallation (coûts horaires réels en personnel),,,Coût réel,actual cost,Coût réel,actual cost,-,-,2025-01-01,2025-01-01,Public Works Department Transportation Committee Traffic Services Variable Message Board - Set up/takedown fee (actual hourly cost of staff time),Direction générale des travaux publics Comité des transports Services de la circulation Frais d’installation et de désinstallation (coûts horaires réels en personnel)
"Planning, Development and Building Services Department","Services de la planification, de l’aménagement et du bâtiment",Transportation Committee,Comité des transports,Transportation Planning Services,Planification des transports,Electronic Kick Scooter - Administration Fee,Frais de trottinette électronique - Frais d'inscription,,,10000,10000,10000,10000,0.00%,0.00%,2025-01-01,2025-01-01,"Planning, Development and Building Services Department Transportation Committee Transportation Planning Services Electronic Kick Scooter - Administration Fee","Services de la planification, de l’aménagement et du bâtiment Comité des transports Planification des transports Frais de trottinette électronique - Frais d'inscription"
"Planning, Development and Building Services Department","Services de la planification, de l’aménagement et du bâtiment",Transportation Committee,Comité des transports,Transportation Planning Services,Planification des transports,Electronic Kick Scooter - Station Encroachment Fee,Frais de trottinette électronique - Frais d'empiétement de la gare,,,250,250,250,250,0.00%,0.00%,2025-01-01,2025-01-01,"Planning, Development and Building Services Department Transportation Committee Transportation Planning Services Electronic Kick Scooter - Station Encroachment Fee","Services de la planification, de l’aménagement et du bâtiment Comité des transports Planification des transports Frais de trottinette électronique - Frais d'empiétement de la gare"
"Planning, Development and Building Services Department","Services de la planification, de l’aménagement et du bâtiment",Transportation Committee,Comité des transports,Transportation Planning Services,Planification des transports,Electronic Kick Scooter - Vehicle Fee (per vehicle),Frais de trottinette électronique - Frais de véhicule (par véhicule),,,150,150,150,150,0.00%,0.00%,2025-01-01,2025-01-01,"Planning, Development and Building Services Department Transportation Committee Transportation Planning Services Electronic Kick Scooter - Vehicle Fee (per vehicle)","Services de la planification, de l’aménagement et du bâtiment Comité des transports Planification des transports Frais de trottinette électronique - Frais de véhicule (par véhicule)"
Infrastructure and Water Services,Direction générale des services d’infrastructure et d’eau,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services des eaux pluviales,"All Thawing of Services Cost, hourly; plus 15% admin",Dégel des branchements -  Coût par heure; plus 15 % de frais administratifs,,,200,200," Coût, horaire ; plus 15 % d’administration ","Cost, hourly; plus 15% admin",-,-,2025-01-01,2025-01-01,"Infrastructure and Water Services Environment and Climate Change Committee (Rate Supported) Drinking Water Services All Thawing of Services Cost, hourly; plus 15% admin",Direction générale des services d’infrastructure et d’eau Comité de l’environnement du changement climatique (par les redevances) Services des eaux pluviales Dégel des branchements -  Coût par heure; plus 15 % de frais administratifs
